song_id,title,genre,release_year,spotify_rating,album,language_id
1,Blinding Lights,Pop,2007,9.3,After Hours,1
2,Shape of You,Pop,2022,9.0,Divide,1
3,Levitating,Pop,2007,7.6,Future Nostalgia,1
4,Believer,Rock,2018,7.6,Evolve,1
5,Uptown Funk,Funk,2006,8.7,Uptown Special,1
6,Rolling in the Deep,Soul,2013,9.8,21,1
7,Love Story,Country,2014,8.8,Fearless,1
8,Peaches,R&B,2014,9.6,Justice,1
9,Cheap Thrills,Pop,2006,7.0,This Is Acting,1
10,Starboy,R&B,2007,9.4,Starboy,1
11,Photograph,Pop,2007,8.7,Multiply,1
12,Let Me Love You,Pop,2013,8.9,Encore,1
13,Stay,Pop,2020,8.0,Stay,1
14,Faded,EDM,2019,9.6,Different World,1
15,On My Way,EDM,2019,7.5,Single,1
16,Sugar,Pop,2014,9.6,Sugar,1
17,Girls Like You,Pop,2010,9.5,Red Pill Blues,1
18,Rockabye,Pop,2016,9.3,Rockabye,1
19,Perfect,Pop,2006,7.9,Divide,1
20,Senorita,Pop,2010,9.4,Romance,1
21,Tum Hi Ho,Romantic,2012,9.4,Aashiqui 2,2
22,Raataan Lambiyan,Romantic,2015,8.1,Shershaah,2
23,Kesariya,Romantic,2019,8.4,Brahmastra,2
24,Channa Mereya,Romantic,2015,7.9,Ae Dil Hai Mushkil,2
25,Tujhe Kitna Chahne Lage,Romantic,2010,7.6,Kabir Singh,2
26,Apna Time Aayega,Rap,2013,7.7,Gully Boy,2
27,Galliyan,Romantic,2007,9.8,Ek Villain,2
28,Bekhayali,Romantic,2019,8.3,Kabir Singh,2
29,Vaaste,Pop,2014,7.5,Vaaste,2
30,Pasoori,Fusion,2012,8.7,Coke Studio,2
31,Pachtaoge,Romantic,2009,9.2,Jaani Ve,2
32,Kaise Hua,Romantic,2012,7.9,Kabir Singh,2
33,Shayad,Romantic,2006,9.0,Love Aaj Kal,2
34,Dil Diyan Gallan,Romantic,2020,8.6,Tiger Zinda Hai,2
35,Tera Ban Jaunga,Romantic,2008,8.8,Kabir Singh,2
36,Ranjha,Romantic,2014,8.3,Shershaah,2
37,Heeriye,Romantic,2017,7.1,Heeriye,2
38,Mann Bharrya 2.0,Romantic,2023,9.8,Shershaah,2
39,Zaalima,Romantic,2006,9.3,Raees,2
40,Muskurane,Romantic,2007,8.1,Citylights,2
41,Brown Munde,Punjabi Pop,2023,7.5,Not By Chance,3
42,Excuses,Punjabi Pop,2012,8.7,Excuses,3
43,295,Rap,2014,7.0,Moosetape,3
44,So High,Rap,2018,9.2,So High,3
45,Lahore,Punjabi Pop,2019,9.6,Lahore,3
46,Do You Know,Romantic,2006,8.8,Do You Know,3
47,Suit Suit,Punjabi Pop,2016,7.1,Hindi Medium,3
48,High Rated Gabru,Punjabi Pop,2022,9.8,Nawabzaade,3
49,Illegal Weapon,Punjabi Pop,2021,7.3,Street Dancer 3D,3
50,She Move It Like,Hip-Hop,2007,7.7,One,3
